Time interval R value
15.02.2020 to 14.03.2020 (R0) 3.2
15.03.2020 to 19.04.2020 (R1) 0.5
20.04.2020 to 10.05.2020 (R2) 0.7
11.05.2020 to 30.06.2020 (R3) 0.7
01.07.2020 to 31.07.2020 (R4) 1.2
01.08.2020 to 31.08.2020 (R5) 1.0
01.09.2020 to 30.09.2020 (R6) 1.0
01.10.2020 to 25.10.2020 (R7) 1.3
26.10.2020 to 04.11.2020 (R8) 1.3
05.11.2020 to 30.11.2020 (R9) 0.81
01.12.2020 to 03.01.2021 (R10) 1.03
04.01.2021 to 21.01.2021 (R11) 0.6
22.01.2021 to 07.02.2021 (R12) 0.8
08.02.2021 to 01.03.2021 (R13) 1.5
02.02.2021 to 24.03.2021 (R14) 1.04
25.03.2021 to 12.04.2021 (R15) 0.76
13.04.2021 to 05.05.2021 (R16) 0.85
06.05.2021 to 26.05.2021 (R17) 1.0
27.05.2021 to 20.06.2021 (R18) 0.7
21.06.2021 to 11.07.2021 (R19) 1.1
12.07.2021 to 03.08.2021 (R20) 1.0
04.08.2021 to 31.08.2021 (R21) 1.2
01.09.2021 - (R22) 0.78
